Result: White wins by checkmate

1: a2a3
2: b4c3
3: e1g1
4: c6d4
5: b5d3
6: d4f3
7: d1f3
8: c3a5
9: b2b4
10: a5b6
11: c1b2
12: e8e7
13: f3f5
14: h8g8
15: d3c4
16: g8h8
17: f1e1
18: h8g8
19: a3a4
20: g8e8
21: a4a5
22: e7f8
23: a5b6
24: d7d5
25: f5g5
26: d5c4
27: a1a7
28: c8d7
29: a7a8
30: d8a8
31: b6c7
32: e8e6
33: d2d3
34: c4d3
35: g5c1
36: d3c2
37: c1c2
38: f8g8
39: b4b5
40: a8c8
41: c2c5
42: c8f8
43: c5c3
44: f8c8
45: b5b6
46: e6b6
47: e1e3
48: b6b2
49: e3e1
50: b2f2
51: g1f2
52: g8h8
53: h2h3
54: f6e8
55: e1c1
56: d7c6
57: c3c5
58: e8c7
59: c5e7
60: h8g8
61: f2e3
62: c8b8
63: c1c5
64: b8f8
65: e7e5
66: f8e8
67: e5e8
68: c7e8
69: c5a5
70: c6e4
71: e3e4
72: e8c7
73: a5a7
74: c7e6
75: a7a8
76: e6f8
77: a8b8
78: f7f5
79: e4f5
80: g7g6
81: f5e5
82: b7b6
83: b8b7
84: f8d7
85: b7d7
86: g8h8
87: e5f6
88: h7h6
89: f6g6
90: h8g8
91: d7d8
